Concat_Subtype_Element_Type,Weightings,Varient_Commment
Inspection Chamber_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Inspection Chamber_Equipment Mounting Board,3,NULL
Inspection Chamber_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack of
Inspection Chamber_Fastenings,7,NULL
Inspection Chamber_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Inspection Chamber_Fixings,3,NULL
Inspection Chamber_Floor,8,NULL
Inspection Chamber_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Inspection Chamber_Frame,6,NULL
Inspection Chamber_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Inspection Chamber_Hoist,NULL,NULL
Inspection Chamber_Internal Features,1,NULL
Inspection Chamber_Ladder,3,NULL
Inspection Chamber_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Inspection Chamber_Padlock or Lock,6,NULL
Inspection Chamber_Padlock or Lock,9,if critical to theoperation of the asset
Inspection Chamber_Shaft,7,NULL
Inspection Chamber_Structural Steelwork,9,NULL
Inspection Chamber_Substructure,8,NULL
Inspection Chamber_Substructure,9,if function /performance of theasset beingcompromised.
Inspection Chamber_Treads and Risers,3,NULL
Inspection Chamber_Treads and Risers,7,if required foroperational access.
Instrumentation_Battery Charger,NULL,NULL
Instrumentation_Cable and Pipe Management,4,NULL
Instrumentation_Cable and Pipe Management,7,If pipes carry pumpedmaterial or control orpower cables
Instrumentation_Civils,4,NULL
Instrumentation_Control Equipment,NULL,NULL
Instrumentation_Data Logger,NULL,NULL
Instrumentation_Datum Plates and Markers,4,NULL
Instrumentation_Datum Plates and Markers,9,If critical for datacalibration / qualitychecks.
Instrumentation_Display,NULL,NULL
Instrumentation_Equipment Housing,4,NULL
Instrumentation_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Instrumentation_Fastenings,7,NULL
Instrumentation_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Instrumentation_Fixings,6,NULL
Instrumentation_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Instrumentation_Interface Module,NULL,NULL
Instrumentation_Measurement Scale,7,NULL
Instrumentation_Measurement Scale,9,If sole means ofmeasuring a value.
Instrumentation_Padlock or Lock,6,NULL
Instrumentation_Padlock or Lock,9,if critical to theoperation of the asset
Instrumentation_Sensor,7,NULL
Instrumentation_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
Instrumentation_Signal Conditioner,NULL,NULL
Instrumentation_Signal Splitter,NULL,NULL
Instrumentation_Stilling Tube,9,NULL
Instrumentation_Storage Rain Gauge,NULL,NULL
Instrumentation_Treads and Risers,3,NULL
Instrumentation_Treads and Risers,7,if required foroperational access.
Jetty_Access Point,9,NULL
Jetty_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Jetty_Access Strip,9,NULL
Jetty_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Jetty_Beams,8,NULL
Jetty_Beams,9,If element deemed tobe load bearing
Jetty_Bearing Piling,7,NULL
Jetty_Bearing Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Jetty_Core,NULL,NULL
Jetty_Datum Plates and Markers,2,NULL
Jetty_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Jetty_Deck,7,NULL
Jetty_Deck,9,If Deck is over water.
Jetty_Exposed Face,7,NULL
Jetty_Exposed Face,9,If asset is extremelyexposed.
Jetty_Exposed Toe,5,NULL
Jetty_Exposed Toe,8,If asset is extremelyexposed.
Jetty_External Features,4,NULL
Jetty_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Jetty_Fastenings,7,NULL
Jetty_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Jetty_Ladder,3,NULL
Jetty_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Jetty_Mast,3,NULL
Jetty_Mast,9,If element supportsnavigation or securityequipment.
Jetty_Mooring Point,6,NULL
Jetty_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Jetty_Navigation Light,3,NULL
Jetty_Padlock or Lock,6,NULL
Jetty_Padlock or Lock,9,if critical to theoperation of the asset
Jetty_Piling,7,NULL
Jetty_Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Jetty_Pillar,8,NULL
Jetty_Pillar,9,If element is critical tostructural integrity ofthe asset.
Jetty_Post,2,NULL
Jetty_Post,3,If element is critical forasset function
Jetty_Retaining Wall,5,NULL
Jetty_Retaining Wall,9,if element is requiredfor structural integrityor failure would preventoperation of the asset.
Jetty_Service Pedestal,2,NULL
Jetty_Sheet Piling,5,NULL
Jetty_Sheet Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Jetty_Substructure,8,NULL
Jetty_Substructure,9,if function /performance of theasset beingcompromised.
Jetty_Treads and Risers,3,NULL
Jetty_Treads and Risers,7,if required foroperational access.
Jetty_Water Point,NULL,NULL
Lab Building_Access Strip,9,NULL
Lab Building_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Lab Building_Alternator,NULL,NULL
Lab Building_Beams,8,NULL
Lab Building_Beams,9,If element deemed tobe load bearing
Lab Building_Cable and Pipe Management,4,NULL
Lab Building_Cable and Pipe Management,7,If pipes carry pumpedmaterial or control orpower cables
Lab Building_Ceiling,4,NULL
Lab Building_Civils,4,NULL
Lab Building_Climate Control,NULL,NULL
Lab Building_Distribution Board,NULL,NULL
Lab Building_Distribution Network Operator Feeder,NULL,NULL
Lab Building_Doors and Windows,6,NULL
Lab Building_Doors and Windows,9,If element is critical foraccess/egress/security
Lab Building_Drainage System,5,NULL
Lab Building_Drainage System,9,if failure could not bemitigated and would
Lab Building_Electrical System,NULL,NULL
Lab Building_Electricity Meter,NULL,NULL
Lab Building_Electricity Sub Meter,NULL,NULL
Lab Building_Equipment Mounting Board,3,NULL
Lab Building_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Lab Building_External Features,4,NULL
Lab Building_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Lab Building_External Walls,8,NULL
Lab Building_External Walls,9,If element deemed tobe load bearing orrequired for security
Lab Building_Fastenings,7,NULL
Lab Building_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Lab Building_Fire Protection,NULL,NULL
Lab Building_Fixed Fall Arrest System,NULL,NULL
Lab Building_Fixings,3,NULL
Lab Building_Floor,8,NULL
Lab Building_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Lab Building_Foundation,9,NULL
Lab Building_Frame,8,NULL
Lab Building_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Lab Building_Fuel Cell,NULL,NULL
Lab Building_Gantry,1,NULL
Lab Building_Gantry,5,If failure wouldcompromise operation.
Lab Building_Gas System,NULL,NULL
Lab Building_Grassed Elements,1,NULL
Lab Building_Habitat Enhancement,1,NULL
Lab Building_Heating System,NULL,NULL
Lab Building_Hydro Turbine,NULL,NULL
Lab Building_Incomer,NULL,NULL
Lab Building_Internal Features,1,NULL
Lab Building_Internal Walls,4,NULL
Lab Building_Internal Walls,9,If load bearing or criticalfor security.
Lab Building_Ladder,3,NULL
Lab Building_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Lab Building_Lighting,NULL,NULL
Lab Building_Maintenance Hole,3,NULL
Lab Building_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Lab Building_Padlock or Lock,6,NULL
Lab Building_Padlock or Lock,9,if critical to theoperation of the asset
Lab Building_Planted Elements,1,NULL
Lab Building_Roller Shutters,6,NULL
Lab Building_Roller Shutters,9,If element is critical foraccess/egress/security
Lab Building_Roof,8,NULL
Lab Building_Roof,9,If element is critical forsecurity or building is ofmajor significance
Lab Building_Security Camera,1,NULL
Lab Building_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Lab Building_Sewage Treatment System,NULL,NULL
Lab Building_Solar Panel,NULL,NULL
Lab Building_Substructure,8,NULL
Lab Building_Substructure,9,if function /performance of theasset beingcompromised.
Lab Building_Transformer,NULL,NULL
Lab Building_Treads and Risers,3,NULL
Lab Building_Treads and Risers,7,if required foroperational access.
Lab Building_Uninterruptible Power Supply,NULL,NULL
Lab Building_Ventilation System,NULL,NULL
Lab Building_Waste Disposal System,NULL,NULL
Lab Building_Water Supply Plumbing System,9,NULL
Landing_Access Strip,9,NULL
Landing_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Landing_Bearing Piling,7,NULL
Landing_Bearing Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Landing_Buoyancy Aid,1,NULL
Landing_Buoyancy Aid,3,if asset is accessible togeneral member of thepublic. Use variant ifhigh risk of accidentalentry into waterelement plays a safetycritical role
Landing_Capping Beam,6,NULL
Landing_Deck,7,NULL
Landing_Deck,9,If Deck is over water.
Landing_Fender,5,NULL
Landing_Floats,7,NULL
Landing_Floats,9,If asset is floating
Landing_Habitat Enhancement,1,NULL
Landing_Landing Face,7,NULL
Landing_Landing Face,9,if exposed to theprevailingenvironmentalconditions.
Landing_Mooring Point,6,NULL
Landing_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Landing_Piling,7,NULL
Landing_Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Landing_Pump Out Point,2,NULL
Landing_Pump Out Point,9,Consider variant ifprimary purpose ofmooring is for servicingboats.
Landing_Sheet Piling,5,NULL
Landing_Sheet Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Landing_Treads and Risers,3,NULL
Landing_Treads and Risers,7,if required foroperational access.
Lock Island_Bearing Piling,8,NULL
Lock Island_Berm,5,NULL
Lock Island_Berm,7,If less than 3 metreswide.
Lock Island_Capping Beam,6,NULL
Lock Island_Capping Beam,8,If critical to thestructural integrity ofthe asset
Lock Island_Channel Side,7,NULL
Lock Island_Channel Side,9,If island is less than 3metres wide.
Lock Island_High Ground,3,NULL
Lock Island_High Ground,1,If High ground risessteeply away fromchannel side or coast
Lock Island_Landward Face,7,NULL
Lock Island_Landward Face,9,If steeper than 1V:3H orhas a history ofovertopping with noengineered erosionprotection.
Lock Island_Piling,8,NULL
Lock Island_Retaining Wall,6,NULL
Lock Island_Retaining Wall,9,if element is requiredfor structural integrityor failure would preventoperation of the asset.
Lock Island_Sheet Piling,8,NULL
Lock Island_Sheet Piling,9,If element is requiredfor structural integrity.
Lock_Access Strip,9,NULL
Lock_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Lock_Apron,5,NULL
Lock_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Lock_Balance Beam,9,NULL
Lock_Balance Weight,NULL,NULL
Lock_Cill,9,NULL
Lock_Drive Assembly,7,NULL
Lock_Drive Assembly,9,If there is no alternativefor operating the asset.
Lock_Electrical System,NULL,NULL
Lock_Frame,7,NULL
Lock_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Lock_Gantry,1,NULL
Lock_Gantry,5,If failure wouldcompromise operation.
Lock_Gate Quoin,NULL,NULL
Lock_Ladder,3,NULL
Lock_Ladder,5,if element doesn'tcontribute to primaryfunction of the asset
Lock_Left Bank Wall,6,NULL
Lock_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Lock_Lock Chamber,9,NULL
Lock_Lock Gate,9,NULL
Lock_Lock Gate Paddle,7,NULL
Lock_Lock Gate Paddle,9,If sole or critical meansof controlling water inthe lock.
Lock_Right Bank Wall,6,NULL
Lock_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Lock_Stoplogs and Lasherboards,3,NULL
Lock_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activitiesactivities
Lock_Structural Steelwork,9,NULL
Lock_Treads and Risers,3,NULL
Lock_Treads and Risers,7,if required foroperational access.
Lock_Walkway,3,NULL
Maintenance Building_Access Strip,9,NULL
Maintenance Building_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Maintenance Building_Alternator,NULL,NULL
Maintenance Building_Beams,8,NULL
Maintenance Building_Beams,9,If element deemed tobe load bearing
Maintenance Building_Cable and Pipe Management,4,NULL
Maintenance Building_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe building
Maintenance Building_Ceiling,4,NULL
Maintenance Building_Civils,4,NULL
Maintenance Building_Climate Control,NULL,NULL
Maintenance Building_Datum Plates and Markers,2,NULL
Maintenance Building_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Maintenance Building_Distribution Board,NULL,NULL
Maintenance Building_Distribution Network Operator Feeder,NULL,NULL
Maintenance Building_Doors and Windows,6,NULL
Maintenance Building_Doors and Windows,9,If element is critical foraccess/egress/security
Maintenance Building_Drainage System,5,NULL
Maintenance Building_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Maintenance Building_Electrical System,NULL,NULL
Maintenance Building_Electricity Meter,NULL,NULL
Maintenance Building_Electricity Sub Meter,NULL,NULL
Maintenance Building_Equipment Mounting Board,3,NULL
Maintenance Building_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Maintenance Building_External Features,4,NULL
Maintenance Building_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Maintenance Building_External Walls,8,NULL
Maintenance Building_External Walls,9,If element deemed tobe load bearing orrequired for security
Maintenance Building_Fastenings,7,NULL
Maintenance Building_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Maintenance Building_Fire Protection,NULL,NULL
Maintenance Building_Fixed Fall Arrest System,NULL,NULL
